Article ID,Article Name,Abstract,Summarized Abstract,Abs vs SAbs,Title vs Abs,Title vs SAbs,ROUGE-1,ROUGE-2,ROUGE-L
37741773,"Does GPT-4 have neurophobia? Localization and diagnostic accuracy of an 
artificial intelligence-powered chatbot in clinical vignettes.","BACKGROUND AND OBJECTIVES: This is an observational study of the performance of 
an artificial intelligence-powered chatbot tasked with solving unknown 
neurologic case vignettes. The primary objective of the study is to assess the 
current capabilities of widely-accessible artificial intelligence within the 
field of clinical neurology in order to determine how this technology can be 
deployed in clinical practice, and what insights can be learned from its 
performance and translated to clinical education.
METHODS: This observational study tested the accuracy of GPT-4, an artificial 
intelligence-powered chatbot, at appropriately localizing and generating a 
differential diagnosis for a series of 29 clinical case vignettes. The cases 
were from previously published educational material prepared for learners. No 
cases required more than text input, a current limitation of GPT-4. The primary 
outcome measures were ranked accuracy of localization and differential diagnosis 
based on clinical history and exam alone and after ancillary clinical data was 
provided. Secondary outcome measures included a comparison of accuracy by case 
difficulty.
RESULTS: GPT-4 identified the correct localization less than 50% of the time and 
performed worse when provided ancillary testing. GPT-4 was more accurate with 
localization and diagnosis of easier versus harder cases. Diagnostic accuracy 
was independent of its ability to localize the lesion.
DISCUSSION: GPT-4 did not perform as well on neurology clinical vignettes as 
compared to reported accuracy when provided other medical clinical vignettes. 
Incorporation of an AI chatbot into the practice of clinical neurology will 
require neurology-focused teaching.","Study tested the accuracy of GPT-4, an artificial intelligence-powered chatbot. It identified the correct localization less than 50% of the time and performed worse when provided ancillary testing. Diagnostic accuracy was independent of its ability to localize the lesion. Incorporation of an AI chatbot into the practice of clinical neurology will require neurology-focused teaching, the authors say. The study was published in the Journal of Neurology, Neurosurgery and Psychiatry.",0.837935686,0.739222348,0.797093093,0.141935484,0.149350649,0.838174274
37740904,"Natural language processing in narrative breast radiology reporting in 
University Malaya Medical Centre.","Radiology reporting is narrative, and its content depends on the clinician's 
ability to interpret the images accurately. A tertiary hospital, such as 
anonymous institute, focuses on writing reports narratively as part of training 
for medical personnel. Nevertheless, free-text reports make it inconvenient to 
extract information for clinical audits and data mining. Therefore, we aim to 
convert unstructured breast radiology reports into structured formats using 
natural language processing (NLP) algorithm. This study used 327 de-identified 
breast radiology reports from the anonymous institute. The radiologist 
identified the significant data elements to be extracted. Our NLP algorithm 
achieved 97% and 94.9% accuracy in training and testing data, respectively. 
Henceforth, the structured information was used to build the predictive model 
for predicting the value of the BIRADS category. The model based on random 
forest generated the highest accuracy of 92%. Our study not only fulfilled the 
demands of clinicians by enhancing communication between medical personnel, but 
it also demonstrated the usefulness of mineable structured data in yielding 
significant insights.","Radiology reporting is narrative, and its content depends on the clinician's ability to interpret the images accurately. Free-text reports make it inconvenient to extract information for clinical audits and data mining. We aim to convert unstructured breast radiology reports into structured formats using a natural language processing (NLP) algorithm. Our NLP algorithm achieved 97% and 94.9% accuracy in training and testing data, respectively. The model based on random forest generated the highest accuracy of 92%. Our study not only fulfilled the demands of clinicians by enhancing communication between medical personnel, but also demonstrated the usefulness of mineable structured data.",0.944743872,0.728862107,0.747931302,0.299242424,0.335877863,0.43030303
37740672,"Effect of minimally invasive versus conventional aortic root replacement on 
transfusion and postoperative wound complications in patients: A meta-analysis.","We examined whether small incision aortic root replacement could reduce the 
amount of blood transfusion during operation and the risk of postoperative 
complications. An extensive e-review of the 4 main databases (PubMed, Cochrane, 
Web of Science and EMBASE) was carried out to determine all the published trials 
by July 2023. The search terms used were associated with partial versus full 
sternotomy and aortic root. This analysis only included the study articles that 
compared partial and full sternotomy. After excluding articles based on titles 
or abstracts, selected full-text articles had reference lists searched for any 
potential further articles. We analysed a total of 2167 subjects from 10 
comparable trials. The minimally invasive aortic root graft in breastbone 
decreased the duration of hospitalization (MD, -2.58; 95% CI, -3.15, -2.01, 
p < 0.0001) and intraoperative red blood cell transfusion (MD, -1.27; 95% CI, 
-2.34, -0.19, p = 0.02). However, there were no significant differences in wound 
infection (OR, 0.88; 95% CI, 0.16, 4.93, p = 0.88), re-exploration for bleeding 
(OR, 0.96; 95% CI, 0.60, 1.53, p = 0.86), intraoperative blood loss (MD, 
-259.19; 95% CI, -615.11, 96.73, p = 0.15) and operative time (MD, -7.39; 95% 
CI, -19.10, 4.32, p = 0.22); the results showed that the microsternotomy did not 
differ significantly from that of the routine approach. Small sternotomy may be 
an effective and safe substitute for the treatment of the aorta root. 
Nevertheless, the wide variety of data indicates that larger, well-designed 
studies are required to back up the current limited literature evidence showing 
a benefit in terms of complications like postoperative wound infections or the 
volume of intraoperative red blood cell transfusion.","Small incision aortic root replacement could reduce the amount of blood transfusion during operation and the risk of postoperative complications. An extensive e-review of the 4 main databases (PubMed, Cochrane, Web of Science and EMBASE) was carried out to determine all the published trials. Small sternotomy may be an effective and safe substitute for the treatment of the aorta root. But larger, well-designed studies are required to back up the current limited literature evidence.",0.855297506,0.686593652,0.800875664,0.167630058,0.191860465,0.738970588
37740212,"A network meta-analysis of different acupuncture modalities in the treatment of 
bronchial asthma.","BACKGROUND: Glucocorticoids and Beta-2 receptor agonists are commonly used for 
the treatment of asthma in clinical practice, while these agents are accompanied 
by adverse reactions of different kinds. Studies have shown that acupuncture is 
effective in treating bronchial asthma. However, different acupuncture 
modalities have different costs and skill requirements, and there remains a lack 
of comparisons between different acupuncture modalities. This study aims to 
assess the efficacy of various acupuncture modalities in the treatment of 
asthma.
METHODS: The following databases were searched for randomized controlled trials 
(RCTs) on acupuncture for the treatment of bronchial asthma from database 
inception to August 26, 2022: PubMed, Embase, The Cochrane Library, Web of 
Science, Chinese Journal Full-text Database (CNKI), Wanfang Database (Wanfang 
Date), VIP Database (VIP), China Biology Medicine disc (CBM). Stata 15.1 
software was used to conduct network meta-analysis. The risk of bias in the 
included studies was evaluated using the Cochrane Risk of Bias Assessment Tool 2 
(RoB2).
RESULTS: A total of 8,693 relevant studies were found, and 30 RCTs were 
included, involving 2,722 patients with bronchial asthma and eight acupuncture 
modalities: manual acupuncture, moxibustion, electroacupuncture, ignipuncture, 
flying needle acupuncture, acupoint catgut embedding, acupoint application, and 
warm-needle moxibustion. The other 29 studies had certain risks, with the 
quality graded as ""moderate"". Among the pair-wise comparisons of statistical 
significance (p < 0.05), acupoint application was the most effective in 
improving pulmonary function (FEV1: Traditional medicine therapy-acupoint 
application [-7.29 (-12.11,-2.47)]; acupoint application-moxibustion [7.20 
(0.28,14.11)]; FVC: acupoint application-Traditional medicine therapy [8.02 
(2.54,13.50)]). Acupoint catgut embedding was the most effective in improving 
the ACT score of the patients (Traditional medicine therapy-acupoint catgut 
embedding [-4.29 (-7.94, -0.65)]; acupoint catgut embedding-moxibustion [5.52 
(1.05,9.99)]).
CONCLUSION: Acupoint application has evident merits in improving the clinical 
response rate and pulmonary function, while acupoint catgut embedding can 
improve other secondary indicators. For the clinical treatment of asthma, 
acupoint application can be selected as a complementary and alternative therapy, 
while the other acupuncture therapies can also be considered according to the 
examination results of the patients.","Acupoint application was the most effective in improving pulmonary function. Acupoint catgut embedding can improve other secondary indicators. Acupuncture can be selected as a complementary and alternative therapy, while the other acupuncture therapies can also be considered according to the results of the patients. The Cochrane Risk of Bias Assessment Tool 2 (RoB2) was used to assess the risk of bias in the studies included in this study. The other 29 studies had certain risks, with the quality graded as ""moderate""",0.83747232,0.770667553,0.713797092,0.130434783,0.155339806,0.903903904
37739854,"To rest or to compete? A 4-week cohort study of analgesic use and willingness to 
compete hurt in Danish youth elite athletes.","OBJECTIVES: To assess the association between analgesic use and willingness to 
compete hurt (WCH) in Danish youth elite athletes, and to explore factors 
associated with such willingness.
DESIGN: 4-week prospective cohort study.
METHODS: 592 Danish youth elite athletes (15-20 years) completed a baseline 
questionnaire assessing demographic information, sport history, and WCH, and 
provided weekly reports on analgesic use for 4 weeks via text messages. 
Analgesic use was categorized as no use (0 weeks) or use across 1, 2, 3, or 
4 weeks, and as the total number of days with analgesic use. Multinomial 
logistic regression and zero-inflated negative binomial regression analyses 
estimated the association between analgesic use and WCH. Linear backward 
stepwise regression analysis was used to identify factors associated with WCH.
RESULTS: Overall, risk of analgesic use increased significantly with increasing 
WCH scores (relative risk ratios ranging from 1.06 (95% CI 1.0 to 1.12%) to 
1.34% (95% CI 1.15 to 1.57)). The incidence rate of analgesic use increased 
significantly with increasing WCH scores (incidence rate ratio 1.09 (95% CI 1.04 
to 1.14)). Associations between the investigated possible antecedent factors and 
WCH were weak and not considered practically important (R2 = 0.05 or lower).
CONCLUSIONS: Higher WCH scores were associated with increasing risk of analgesic 
use, irrespective of the underlying reason for the use, in Danish youth elite 
athletes, suggesting that analgesics may be an ingrained part of a 
sport-specific culture of risk acceptance. Future studies should include 
measures of culture, norms, and social interaction to better explain the 
variance in WCH.","Analgesic use was categorized as no use (0 weeks) or use across 1, 2, 3, or 4 weeks. The incidence rate of analgesic use increased significantly with increasing WCH scores. The study suggests that analgesics may be an ingrained part of a sport-specific culture of risk acceptance. Future studies should include measures of culture, norms, and social interaction to better explain the variability in WCH. Back to Mail Online home. Back To the page you came from.",0.661455035,0.673870921,0.766894519,0.161094225,0.168195719,0.813492063
37739728,"Phytosterol supplementation in capsules or tablets as adjunctive treatment for 
hypercholesterolemia: A systematic review of randomized controlled trials.","BACKGROUND: The exploration of lipid-lowering resources, such as phytosterols, 
for the complementary nutritional treatment of hypercholesterolemia is relevant 
to reduce cardiovascular risk. The use of phytosterols in capsules or tablets 
can bring advantages in the context of diet therapy, but such format is still 
less studied when compared to fortified foods.
OBJECTIVE: Systematically review randomized clinical trials on the effects of 
phytosterol supplementation, in capsules or tablets, on the lipid profile and 
its use in the treatment of hypercholesterolemia in adults.
DESIGN: A systematic review was carried out in accordance with the Preferred 
Reporting Items for Systematic Reviews and Meta-Analysis, with a PROSPERO 
protocol registered under number CRD42021249539. The process was conducted by 
two independent reviewers. Only randomized clinical trials with phytosterol 
supplementation in adult individuals with hypercholesterolemia were included. 
The terms were searched in the databases: PubMed/MEDLINE, Cochrane 
Library/CENTRAL, Embase, LILACS and Web of Science, without restriction of time 
and language. The manual search was also performed through the list of 
references of articles included in this review.
RESULTS: The searches resulted in 977 articles. 22 articles were selected, whose 
full text was read, and according to the eligibility criteria 10 were 
incorporated into the review. The studies were separated into groups according 
to the association of the intervention with changes in lifestyle and the 
characteristics extracted from the studies were summarized and displayed in 
tables. Most studies have revealed a positive association between phytosterol 
supplementation and cholesterol reduction, despite the short duration of 
interventions.
CONCLUSION: The analyzed studies showed that phytosterol supplements can be 
useful to modulate the lipid profile, helping to reduce the plasma concentration 
of LDL cholesterol. However, more research with the aforementioned 
supplementation in such pharmaceutical formats should be encouraged.","The use of phytosterols in capsules or tablets can bring advantages in the context of diet therapy, but such format is still less studied when compared to fortified foods. Most studies have revealed a positive association betweenphytosterol and cholesterol reduction, despite the short duration of interventions. However, more research with the aforementioned pharmaceutical formats should be encouraged, the authors say. The study was published in the online edition of the Journal of Clinical Nutrition, published by the American College of Nutrition (ACN).",0.808320165,0.762518466,0.789907873,0.141689373,0.139726027,0.831578947
37739223,"Management of postoperative outcomes of polytetrafluoroethylene membranes in 
alveolar ridge reconstruction: a systematic review.","Guided bone regeneration (GBR) is a validated technique with satisfactory 
outcomes during 30 years of follow-up. The use of polytetrafluoroethylene (PTFE) 
membrane for vertical augmentation has been studied extensively. However, 
studies have reported exposure rates of up to 31%, there is no consensus on the 
management of postoperative exposure. The objective of this study was to propose 
a management approach for postoperative exposure of polytetrafluoroethylene 
(PTFE) membranes in alveolar ridge reconstruction.
MATERIAL AND METHOD: An electronic search in PubMed Central's and additional 
electronic databases was performed. The search strategy was limited to human 
studies, full-text English or French articles published from 1990 until april 
2023. The extracted data included defect location, membrane type, biomaterials, 
time to postoperative exposure, and Fontana classification stage. Protocol bias 
assessment was performed using an adaptation of the QUADAS-2 tool. This review 
has been registered on PROSPERO (ID: CRD42023445497).
RESULTS: A total of 43 articles were found to be eligible, and 11 of these met 
the predefined inclusion and exclusion criteria. Based on the results of this 
systematic review, an algorithm for the management of PTFE membrane exposure is 
proposed.
CONCLUSION: Postoperative membrane exposure is not a determining factor for the 
success of bone grafting. In cases with postoperative complications, the 
majority of cases still achieved adequate implant-prosthetic rehabilitation. 
Lastly, this series of 11 articles was insufficient to draw conclusions 
regarding good practice recommendations. A larger series is required to validate 
the specific management approaches.",The use of polytetrafluoroethylene (PTFE) membranes for vertical augmentation has been studied extensively. There is no consensus on the management of postoperative exposure of PTFE membranes in alveolar ridge reconstruction. This review has been registered on PROSPERO (ID: CRD42023445497). The majority of cases with postoperative complications still achieved adequate implant-prosthetic rehabilitation. A larger series is required to validate the specific management approaches.,0.900016189,0.764064729,0.841932952,0.159468439,0.16722408,0.765690377
37739056,Prevalence of Awake Bruxism: a systematic review.,"OBJECTIVES: To identify the prevalence of Awake Bruxism (AB).
SOURCES: The electronic search was done in Embase, PubMed/MEDLINE, LILACS, 
Livivo, Scopus, and Web of Science databases up to January 2nd, 2023. The search 
strategies combined terms such as ""bruxism,"" ""awake,"" and related terms when 
conducting searches in databases. Grey literature was consulted through Google 
Scholar, ProQuest, and OpenGrey.
STUDY SELECTION: Two independent reviewers participated in the study selection 
stages and included observational studies assessing the prevalence of AB, 
detected using reporting feedback (self or family report), clinical examination, 
and/or instrumental methods, regardless of the sex and age of the population.
DATA: Methodological quality was assessed using the Joanna Briggs Institute's 
checklist for prevalence studies. Ratio meta-analyses were performed using R 
Statistics software.
RESULTS: From a total of 3,083 studies identified by the searches on databases, 
322 articles were reviewed the full-text and a total of 81 (quantitative 
synthesis) and 83 (narrative synthesis) studies were included. Only fifteen 
studies reached complete methodological quality. Two overall meta-analyses were 
performed, grouped based on convenience and population-based samples. The 
overall prevalence for possible AB was 32.08% and 16.16%, respectively. For the 
subgroup analyses, the prevalence rate showed a wide variation in different 
studied populations, approximately 14%-32% for women and 19%-30% for men, for 
population-based and convenience studies, respectively.
CONCLUSION: Possible AB prevalence was set from 16% to 32%. Studies with 
probable AB and definitive AB are still necessary.
CLINICAL SIGNIFICANCE: Studying the prevalence of waking bruxism is of interest 
to both dentists and patients. Knowing the probability of patients having awake 
bruxism allows the dentist to offer comprehensive preventive approaches to 
patients, avoiding deleterious consequences resulting from this condition. The 
present study reveals that the condition of bruxism during wakefulness is 
present in one out of every six adult patients studied. In pediatric patients, 
although this condition seems to be equally present, not enough studies were 
found to support this information for probable and definitive bruxism.","Possible AB prevalence was set from 16% to 32%. Studies with probable AB and definitive AB are still necessary. The condition of bruxism during wakefulness is present in one out of every six adult patients studied. Knowing the probability of patients having awake  grotesquebruxism allows the dentist to offer comprehensive preventive approaches to patients, avoiding deleterious consequences resulting from this condition. The prevalence rate showed a wide variation in different studied populations, approximately 14%-32% for women and 19%-30% for men.",0.877095997,0.662946522,0.655177772,0.15920398,0.18,0.860248447
37739039,"Pharmacokinetic-guided versus standard prophylaxis in hemophilia- A systematic 
review and meta-analysis.","BACKGROUND: With population pharmacokinetic (PK) modeling more readily available 
and PK-guided prophylaxis endorsed by current hemophilia guidelines, we 
conducted a systematic review to summarize current evidence in the literature.
OBJECTIVE: To assess the efficacy of PK-guided compared to non-PK-guided 
prophylaxis.
METHODS: We did not restrict inclusion to specific study design labels and 
included all studies consisting of at least one distinct cohort arm receiving 
PK-guided prophylaxis. We searched the following databases from inception to 
date of search: MEDLINE, Embase, CENTRAL, ClinicalTrials.gov, and the EU 
Clinical Trial Register. Following title, abstract, and full text screening 
conducted independently by two review authors, we summarized studies 
qualitatively and synthesized included randomized clinical trials (RCT) 
quantitatively by fitting random-effects models.
RESULTS: Search of databases on 3 February 2023 yielded 25 studies fitting our 
inclusion criteria. Of those, only two RCT and 17 non-randomized studies 
included a standard prophylaxis comparator group. Furthermore, risk of bias in 
the latter was substantial, primarily due to before-after study designs and 
retrospective comparator groups. Thus, non-randomized studies were only 
presented qualitatively. A random-effects meta-analysis of the two identified 
RCT remained inconclusive with regards to bleeding outcomes (ratio of means 
1.15; 95%CI, 0.85-1.56) and factor consumption (ratio of means 0.82; 95%CI, 
0.58-1.18).
CONCLUSION: Evidence in the literature suggesting a clinical benefit of 
PK-guided over standard fixed-dose prophylaxis was weak and mainly found in 
non-randomized studies limited by lack of concurrent controls, heterogeneity in 
outcome reporting, small sample sizes, and high risk of bias.","Review of studies to assess the efficacy of PK-guided compared to non-PK-guided prophylaxis. Only two RCT and 17 non-randomized studies included a standard prophyaxis comparator group. Risk of bias in the latter was substantial, primarily due to before-after study designs and retrospective comparator groups. A random-effects meta-analysis of the two identified RCTs remained inconclusive with regards to bleeding outcomes and factor consumption. Evidence in the literature suggesting a clinical benefit of                 PK- guided was weak and mainly found in                 non- randomized studies limited by lack of concurrent controls and small sample sizes.",0.892937601,0.753447652,0.743743718,0.173134328,0.192192192,0.687242798
37738791,"A systematic scoping review of patient and caregiver self-report measures of 
satisfaction with clinicians' communication.","OBJECTIVE: We conducted a systematic scoping review of self-report tools used to 
measure patient and/or caregiver satisfaction with clinician communication. Aims 
included identifying: 1) instruments that have been used to measure 
communication satisfaction, and 2) content of the communication items on 
measures.
METHODS: Two databases (PubMed and CINAHL) were searched for relevant studies. 
Eligibility included patient or caregiver self-report tools assessing 
satisfaction with clinicians' communication in a biomedical healthcare setting; 
and the stated purpose for using the measurement involved evaluating 
communication satisfaction and measures included more than one question about 
this. All data were charted in a form created by the authors.
RESULTS: Our search yielded a total of 4531 results screened as title and 
abstracts; 228 studies were screened in full text and 85 studies were included 
in the review. We found 53 different tools used to measure communication 
satisfaction among those 85 studies, including 29 previously used measures 
(e.g., FS-ICU-24, CAHPS), and 24 original measures developed by authors. Content 
of communication satisfaction items included satisfaction with content-specific 
communication, interpersonal communication skills of clinicians, communicating 
to set the right environment, and global communication satisfaction items.
CONCLUSION: There was high variability in the number of items and types of 
content on measures. Communication satisfaction should be better conceptualized 
to improve measurement, and more robust measures should be created to capture 
complex factors of communication satisfaction.
PRACTICE IMPLICATIONS: Creating a rigorous evaluation of satisfaction with 
clinician communication may help strengthen communication research and the 
assessment of communication interventions.",Review of self-report tools used to measure patient and/or caregiver satisfaction with clinician communication. High variability in the number of items and types of content on measures. More robust measures should be created to capture complex factors of communication satisfaction. Creating a rigorous evaluation of satisfaction with clinicians' communication may help strengthen communication research and the assessment of communication interventions. The study was published in the online edition of the Journal of Clinical and Translational Epidemiology and Biobehavioral Research.,0.84272033,0.702097833,0.836825967,0.13803681,0.160493827,0.850202429
